os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q
0.047683797333332834,0.055201009333333495,0.04607069866666613,0.016443950669671137,0.019122729339758088,0.01587190351984691,6.5698000000224965e-06,5.913000000745683e-06,0.0,7.205387442255073e-08,6.993686826883838e-08,0.0
0.047704955999999576,0.05521964266666668,0.04608655599999967,0.016456050151275436,0.01913468583244829,0.015881934816465715,6.597166665400778e-06,5.781666667203922e-06,0.0,7.203228730157107e-08,6.987418044168692e-08,0.0
0.047726160999999934,0.05523793433333335,0.046102386333332745,0.016468149625063544,0.019146642483237886,0.015891966368842797,6.578199998941159e-06,5.9213333329921625e-06,0.0,7.201851640048496e-08,6.98953179223416e-08,0.0
0.04774743166666706,0.05525629166666679,0.04611820566666669,0.016480249136040293,0.019158599171216123,0.01590199822193991,6.4935666657106594e-06,5.995333333785879e-06,0.0,7.196755685834333e-08,6.987926676194078e-08,0.0
0.04776877933333257,0.0552747259999995,0.04613402866666583,0.01649234867420213,0.019170555886379448,0.015912030421418033,6.331933333214579e-06,5.992333333537658e-06,0.0,7.188941222868728e-08,6.983603056953669e-08,0.0
0.047790191666667425,0.05529322500000067,0.046149843000001134,0.016504448233663815,0.019182512622842623,0.015922062905722206,6.105633332254001e-06,5.924666666601297e-06,0.0,7.178996772050361e-08,6.97714944708494e-08,0.0
0.04781165266666587,0.055311772666665426,0.04616562933333235,0.016516547788590158,0.019194469354770455,0.01593209564909448,5.830666667705486e-06,5.808333334300642e-06,0.0,7.169505858439784e-08,6.971149371648444e-08,0.0
0.047832409333332215,0.055330012333331346,0.04618142099999911,0.016528648640965704,0.019206426290327067,0.015942128738220485,6.112000001223805e-06,5.931333335595923e-06,0.0,7.172623939233347e-08,6.970093952007872e-08,0.0
0.047853217000000114,0.05534830299999971,0.04619719033333336,0.01654074949548165,0.019218383228024105,0.01595216209304512,6.342333334075079e-06,6.0033333326714455e-06,0.0,7.175527974578877e-08,6.968824489694825e-08,0.0
0.047874085666666844,0.055366654666666903,0.04621294400000053,0.016552850382441364,0.019230340198164858,0.015962195799537643,6.51166666720826e-06,6.01433333358159e-06,0.0,7.175187638486236e-08,6.964310655943606e-08,0.0
