os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q
0.09075112900000004,0.09242003900000029,0.08270070033333354,0.08463123917078719,0.08639466896374393,0.07624238412079887,3.9066666523979166e-07,1.0999999933147819e-07,0.0,6.016413245379937e-08,5.4678770511351615e-08,0.0
0.09074467633333505,0.0924129596666674,0.08269491700000042,0.08464819478246083,0.0864114020663132,0.0762575893127368,4.029999969290543e-07,5.466666497255801e-08,0.0,6.042434497199878e-08,5.3805973010412345e-08,0.0
0.09073824700000088,0.09240575766666659,0.08268913033333547,0.08466515089416399,0.08642813192864557,0.07627279442087537,3.9199999779526706e-07,1.1133333277513202e-07,0.0,6.0184528083429e-08,5.469980779437833e-08,0.0
0.09073184766666742,0.09239858566666737,0.08268334700000146,0.0846821074391707,0.0864448622242816,0.07628799932001462,3.5099999795562553e-07,1.3799999898367332e-07,0.0,5.951140752413764e-08,5.516033896313388e-08,0.0
0.09072547500000105,0.09239144033333435,0.08267755700000201,0.08469906445084407,0.08646159298658407,0.0763032040432563,2.833333310192643e-07,1.3799999898367332e-07,0.0,5.837162037058974e-08,5.5154203482121744e-08,0.0
0.09071912933333337,0.09238432200000002,0.08267176733333326,0.08471602186251725,0.08647832414888657,0.07631840852393401,1.886666654016267e-07,1.1100000030239698e-07,0.0,5.6831833350479144e-08,5.4748068190058063e-08,0.0
0.09071280999999942,0.09237722999999942,0.08266597399999842,0.08473297977416083,0.08649505581115935,0.07633361292101559,6.766666604818283e-08,5.766666788531438e-08,0.0,5.479207598746427e-08,5.3841962555090106e-08,0.0
0.09070622200000145,0.09237001866666805,0.08266017733333353,0.08474993040488454,0.08651178416653571,0.07634881710889663,1.8896666453827038e-07,1.1166666613604548e-07,0.0,5.6852286323128e-08,5.476915637681046e-08,0.0
0.09069966066666701,0.09236283400000023,0.08265437733333414,0.08476688153557865,0.08652851302188247,0.07636402115444607,2.8359999859617346e-07,1.389999999545921e-07,0.0,5.84125263713986e-08,5.519637991113768e-08,0.0
0.09069312933333329,0.09235567933333311,0.08264858066666658,0.08478383306627246,0.08654524227722893,0.07637922495717142,3.482333328364007e-07,1.3633333395546288e-07,0.0,5.957276649759535e-08,5.5223603634413365e-08,0.0
0.09068662133333394,0.09234854800000036,0.08264277733333358,0.08480078506363303,0.08656197199924204,0.07639442858400075,3.895333318126859e-07,1.1033333269239165e-07,0.0,6.026634008504672e-08,5.478416070792136e-08,0.0
0.09068013999999902,0.09234144333333205,0.08263697066666431,0.08481773752766009,0.08657870218792174,0.07640963203519557,4.041666672449651e-07,5.766666788531438e-08,0.0,6.04932471337527e-08,5.3878051242683966e-08,0.0
0.09067368866666747,0.0923342233333333,0.08263116400000126,0.0848346904249907,0.08659542905766493,0.07642483533586741,3.887999993068547e-07,1.0966666597056474e-07,0.0,6.028685056724825e-08,5.4805300020444037e-08,0.0
0.09066726066666497,0.09232702666666448,0.08262535399999837,0.08485164378898802,0.08661215639407471,0.07644003846090552,3.501000014338729e-07,1.3833333500912204e-07,0.0,5.961378735097611e-08,5.526588209292527e-08,0.0
0.09066086266666673,0.09231985999999992,0.08261954399999905,0.08486859758634802,0.08662888416384729,0.07645524137674453,2.814000001905015e-07,1.3699999978911137e-07,0.0,5.8507361344606323e-08,5.529310148633115e-08,0.0
0.09065448799999931,0.09231271666666618,0.082613730666667,0.08488555185031549,0.08664561240022722,0.07647044411636855,1.8936666723590179e-07,1.1233333374605081e-07,0.0,5.693432797437836e-08,5.4853713404856563e-08,0.0
0.09064814333333349,0.09230560333333315,0.08260791400000045,0.0849025065809495,0.08666234110327381,0.07648564673935593,6.73333335754478e-08,5.766666610895754e-08,0.0,5.4894628009893864e-08,5.394765878463659e-08,0.0
0.09064153166666511,0.09229837066666491,0.08260209733333124,0.0849194540605972,0.08667906649942902,0.07650084909414878,1.8670000212495097e-07,1.0966666774692158e-07,0.0,5.695156246598998e-08,5.487490317701571e-08,0.0
0.090634943333332,0.09229116133333193,0.08259627399999925,0.08493640197354846,0.08669579232888769,0.07651605129868111,2.8273333541051215e-07,1.3833333412094362e-07,0.0,5.8575193417897964e-08,5.536884412071785e-08,0.0
0.0906283849999987,0.09228398199999788,0.0825904539999982,0.08495335038652929,0.08671251865837604,0.07653125336042155,3.4876666799021905e-07,1.370000015654682e-07,0.0,5.969879474099216e-08,5.536275538009505e-08,0.0
0.09062185333333428,0.09227682933333359,0.08258462733333527,0.08497029923275445,0.0867292454211086,0.07654645527210391,3.881333325850278e-07,1.0899999924873782e-07,0.0,6.038915179029658e-08,5.4923422421193635e-08,0.0
0.09061534833333251,0.09226970333333284,0.08257880066666701,0.0849872485457055,0.08674597265056716,0.07656165694895578,4.008333336358305e-07,5.433333338800139e-08,0.0,6.06127829039238e-08,5.401736347110386e-08,0.0
0.09060886999999873,0.0922624593333321,0.08257297399999874,0.08500419825865646,0.08676269655175683,0.0765768584422446,3.868666675899135e-07,1.077333333654451e-07,0.0,6.043641415098833e-08,5.497129967890757e-08,0.0
0.09060241833333205,0.09225524199999935,0.08256714066666682,0.08502114847157771,0.0867794209529168,0.07659205979294403,3.462333344472768e-07,1.3446666713434752e-07,0.0,5.976007516617088e-08,5.54252656548293e-08,0.0
0.09059599333333068,0.09224805133333103,0.08256130733333045,0.08503809911780247,0.08679614578738049,0.07660726093412706,2.7893333509609874e-07,1.3453333469470863e-07,0.0,5.8650432566142996e-08,5.544592807105175e-08,0.0
0.09058959499999908,0.09224088733333335,0.0825554740000003,0.0850550502307531,0.08681287108856983,0.07662246195873457,1.8496666687184415e-07,1.0793333338199318e-07,0.0,5.707406414146021e-08,5.499986460710815e-08,0.0
0.09058322333333102,0.09223374999999834,0.0825496339999976,0.08507200177694813,0.08682959682300367,0.07663766271503153,6.433333510358352e-08,5.466666763709327e-08,0.0,5.506445127645421e-08,5.412055670284133e-08,0.0
0.0905765849999991,0.09222649400000016,0.08254379400000111,0.08508894611751772,0.08684631929590159,0.07665286335423105,1.850000002079355e-07,1.0859999921564167e-07,0.0,5.709811007337251e-08,5.5027851775246717e-08,0.0
